alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1721756666.8933,elite,2828.9644468398,1716700171.6694,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721596174,1721756666.8933,26147,http,http://72.10.164.178:26147,false,936.35940551758,420,49756,0.83705357142857,72.10.164.178
true,1721756644.2613,elite,5119.4325085049,1710541373.2421,"AS197540 netcup GmbH",netcup-AS,Nuremberg,Europe,EU,Germany,DE,,true,"powered by ANX",49.4423,11.0191,false,"netcup GmbH",true,Bavaria,success,Europe/Berlin,90431,1721174565,1721756666.8855,80,http,http://202.61.204.51:80,false,597.42712974548,64966,123733,34.428375349101,202.61.204.51
true,1721756666.8827,elite,412.067891911,1710633922.6358,"AS61098 Akenes SA",exoscale,Zurich,Europe,EU,Switzerland,CH,,true,"Akenes SA",47.3769,8.54169,false,Exoscale,true,Zurich,success,Europe/Zurich,8000,1721648790,1721756666.8827,3128,http,http://91.92.155.207:3128,false,183.0735206604,55534,98422,36.071345059627,91.92.155.207
true,1721756576.528,elite,3446.0240455523,1720145662.5054,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721382952,1721756666.7296,19181,http,http://67.43.228.252:19181,false,1526.7353057861,146,21838,0.66411935953421,67.43.228.252
true,1721752971.287,transparent,1029.0070853058,1721625851.3176,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""",RUNNET,Nal'chik,Europe,EU,Russia,RU,,false,"Federal State Institution ""cientific Research Institute for System Ana",43.4953,43.5975,false,"Kabardino-Balkar State University",false,"Kabardino-Balkariya Republic",success,Europe/Moscow,360000,1721625852,1721756666.7173,3128,http,http://82.179.94.11:3128,false,338.58823776245,2698,267,90.994940978078,82.179.94.11
true,1721756612.4505,elite,1052.3996692009,1720461662.0758,"AS9526 KOSCOM",KOSCOM-AS-KR,Seoul,Asia,AS,"South Korea",KR,Toegye-ro,false,KOSCOM,37.561,126.995,false,broadNnet,true,Seoul,success,Asia/Seoul,04625,1721671312,1721756666.6274,80,http,http://39.125.131.121:80,false,985.56971549988,23510,4557,83.76385078562,39.125.131.121
true,1721753728.416,elite,1024.4543385584,1710556941.9436,"AS398101 GoDaddy.com, LLC",GO-DADDY-COM-LLC,Tempe,"North America",NA,"United States",US,"South Tempe",false,"GoDaddy.com, LLC",33.3359,-111.894,false,"GoDaddy.com, LLC",true,Arizona,success,America/Phoenix,85284,1721615742,1721756666.4043,80,http,http://50.62.183.223:80,false,596.00853919983,187768,7338,96.238967535596,50.62.183.223
true,1721756460.1011,elite,3070.4744273219,1721544958.7212,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721632519,1721756666.1648,3485,http,http://67.43.228.250:3485,false,1211.7083072662,29,2426,1.1812627291242,67.43.228.250
true,1721756445.0423,elite,407.53576190206,1710552350.0995,"AS61098 Akenes SA",exoscale,Sofia,Europe,EU,Bulgaria,BG,,true,"Akenes SA",42.6667,23.8,false,"Akenes SA",true,Sofia,success,Europe/Sofia,2124,1721609754,1721756665.7803,3128,http,http://194.182.178.90:3128,false,152.34136581421,48219,102709,31.948346231316,194.182.178.90
true,1721756665.6732,elite,7598.4472820178,1711110729.9688,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",true,"South West",success,Asia/Singapore,627753,1721217921,1721756665.6732,21584,socks4,socks4://128.199.183.41:21584,true,4908.5800647736,5718,83965,6.3757902835543,128.199.183.41
true,1721756665.2319,elite,28.36429901037,1718346881.3409,"AS24940 Hetzner Online GmbH",HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,true,"Hetzner Online GmbH",49.4423,11.0191,false,,true,Bavaria,success,Europe/Berlin,90431,1721628647,1721756665.2319,80,http,http://49.13.252.196:80,false,50.472736358643,34569,28314,54.973522255618,49.13.252.196
true,1721605491.1419,anonymous,320.99689430017,1720550247.9186,"AS16276 OVH SAS",OVH,Montreal,"North America",NA,Canada,CA,,true,"OVH Hosting",45.5075,-73.5887,false,,true,Quebec,success,America/Toronto,H3H,1721155109,1721756665.103,80,http,http://149.56.148.20:80,false,222.40042686462,25671,795,96.99614599864,149.56.148.20
true,1721754523.3551,elite,1057.6393782823,1721611086.4615,"AS36352 HostPapa",AS-COLOCROSSING,Buffalo,"North America",NA,"United States",US,,true,HostPapa,42.8856,-78.8736,false,"RackNerd LLC",true,"New York",success,America/New_York,14205,1721611086,1721756664.8693,80,http,http://23.94.86.138:80,false,211.47322654724,3098,211,93.623451193714,23.94.86.138
true,1721756664.7445,elite,1628.6487887415,1721729640.5075,"AS197540 netcup GmbH",netcup-AS,Nuremberg,Europe,EU,Germany,DE,,true,"netcup GmbH",49.4423,11.0191,false,"netcup GmbH",false,Bavaria,success,Europe/Berlin,90431,1721730521,1721756664.7445,80,http,http://5.252.226.232:80,false,1039.0343666077,178,388,31.448763250883,5.252.226.232
true,1721755943.1837,elite,51.31736384159,1717971024.2614,"AS24940 Hetzner Online GmbH",HETZNER-AS,Falkenstein,Europe,EU,Germany,DE,,true,"Hetzner Online GmbH",50.475,12.365,false,Hetzner,true,Saxony,success,Europe/Berlin,08223,1721648807,1721756664.7083,3128,http,http://188.40.59.208:3128,false,36.587476730347,32697,37578,46.527214514408,188.40.59.208
true,1721756661.2771,elite,1617.555028495,1710634251.4411,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Alibaba (US) Technology Co., Ltd.",1.35208,103.82,false,"Alibaba.com Singapore E-Commerce Private Limited",true,"North West",success,Asia/Singapore,858877,1721648763,1721756664.5709,80,http,http://8.219.97.248:80,false,1434.8659515381,140889,52654,72.794676118485,8.219.97.248
true,1721755372.9329,elite,2639.5492294424,1710576676.9147,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Zhengzhou,Asia,AS,China,CN,,false,Chinanet,34.7657,113.753,false,"Chinanet HA",true,Henan,success,Asia/Shanghai,450000,1721635069,1721756664.3698,9002,http,http://222.88.167.22:9002,false,965.67368507385,57365,127396,31.048219050557,222.88.167.22
true,1721756606.5432,elite,2688.8806108505,1717709875.479,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721658217,1721756663.9008,6035,http,http://67.43.236.19:6035,false,653.04470062256,248,38598,0.63841836997374,67.43.236.19
true,1721756663.6746,elite,9608.7621727809,1720178031.0413,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",ALIBABA-CN-NET,Beijing,Asia,AS,China,CN,,true,"Hangzhou Alibaba Advertising Co., Ltd.",39.9042,116.407,false,"Aliyun Computing Co.",true,Beijing,success,Asia/Shanghai,100000,1721388205,1721756663.6746,9080,socks5,socks5://8.148.22.214:9080,true,6519.873380661,725,133740,0.53917376268918,8.148.22.214
true,1721756520.2,elite,2544.5633956364,1715992975.1538,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721260026,1721756663.6049,30043,http,http://72.10.164.178:30043,false,1634.8745822906,457,58652,0.77314791317735,72.10.164.178
true,1721756663.5017,elite,323.29440116882,1721727881.8845,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721756664,1721756663.5017,24123,http,http://67.43.228.253:24123,false,323.29440116882,1,92,1.0752688172043,67.43.228.253
true,1721756116.736,elite,216.04842725295,1721511689.6157,"AS208287 DC Host INC",DCHost,Istanbul,Asia,AS,Türkiye,TR,,false,"DC Host INC",40.9999,28.9569,false,"DC Host INC",false,Istanbul,success,Europe/Istanbul,34000,1721511689,1721756663.2301,80,http,http://45.90.89.20:80,false,170.16434669495,3602,1949,64.889209151504,45.90.89.20
true,1721756663.026,elite,758.51864980727,1696999963.7241,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,Fairlie-Poplar,true,"Total Server Solutions L.L.C.",33.755,-84.3896,false,"ThePrimeHost - COLO@",true,Georgia,success,America/New_York,30303,1721421539,1721756663.026,4145,socks4,socks4://74.119.144.60:4145,true,699.36585426331,101287,68203,59.759867838811,74.119.144.60
true,1721752869.6555,elite,2822.5206681397,1710634049.6881,"AS56047 China Mobile communications corporation",CMNET-Hunan-AP,Yueyang,Asia,AS,China,CN,,false,"China Mobile Communications Corporation",29.3568,113.129,true,"China Mobile Communications Corporation",true,Hunan,success,Asia/Shanghai,414000,1721648825,1721756662.9713,9091,http,http://183.215.23.242:9091,false,1497.814655304,169600,23932,87.634086352645,183.215.23.242
true,1721756497.6346,elite,377.39009278673,1714219318.243,"AS19084 ColoUp",COLOUP,Buffalo,"North America",NA,"United States",US,,true,ColoUp,42.8867,-78.8927,false,ColoUp,true,"New York",success,America/New_York,14202,1721647269,1721756662.9285,80,http,http://162.245.85.220:80,false,248.99744987488,83016,8905,90.312333416738,162.245.85.220
true,1721756594.7586,elite,6516.8251721187,1718973436.2407,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Zhangjiakou,Asia,AS,China,CN,,false,"CNC Group CHINA169 Hebei Province Network",40.7687,114.886,false,"Beijing HuaXiaGuangWang Network Co. Ltd",true,Hebei,success,Asia/Shanghai,075000,1721392660,1721756662.9269,80,socks5,socks5://117.74.65.207:80,true,6483.6311340332,178069,147967,54.616361383406,117.74.65.207
true,1721756573.0972,elite,5047.2023595463,1720455277.1681,"AS28840 PJSC ""TATTELECOM""",TATTELECOM-AS,"Naberezhnyye Chelny",Europe,EU,Russia,RU,,false,TATTELECOM,55.7891,52.4375,false,,false,"Tatarstan Republic",success,Europe/Moscow,423822,1721665588,1721756662.8982,3128,http,http://178.207.8.20:3128,false,472.84269332886,682,9708,6.5640038498556,178.207.8.20
true,1721756610.1587,elite,3867.8518737374,1721258763.051,"AS27715 Locaweb Serviços de Internet S/A","Locaweb Serviços de Internet S/A","São Paulo","South America",SA,Brazil,BR,,true,"Locaweb Serviços de Internet S/A",-23.5558,-46.6396,false,"Locaweb Serviços de Internet S/A",false,"São Paulo",success,America/Sao_Paulo,01000-000,1721258764,1721756662.6874,80,http,http://191.252.113.131:80,false,3723.3984470367,1675,8530,16.41352278295,191.252.113.131
true,1721756435.5999,elite,928.98294713237,1721745163.8919,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba (US) Technology Co., Ltd.",22.3193,114.169,false,"Alibaba.com LLC",false,Kowloon,success,Asia/Hong_Kong,96521,1721745167,1721756662.668,1080,http,http://47.76.132.77:1080,false,678.17139625549,202,48,80.8,47.76.132.77
true,1721756489.7994,elite,3985.4614603108,1719481772.3294,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721554770,1721756662.5342,5377,http,http://67.43.228.254:5377,false,1967.1993255615,145,20200,0.71270582452691,67.43.228.254
true,1721756637.8923,elite,2814.6456506517,1717965245.311,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721685325,1721756662.5178,17375,http,http://67.43.236.19:17375,false,966.02869033813,225,36337,0.61539303101581,67.43.236.19
true,1721756275.2748,transparent,2070.5702221093,1721540814.5457,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",false,"South West",success,Asia/Singapore,627753,1721557034,1721756662.443,3128,http,http://128.199.193.78:3128,false,564.16320800781,911,2977,23.431069958848,128.199.193.78
true,1721756616.1884,elite,4783.0700214477,1719832574.1034,"AS8821 WWZ Telekom AG",TELEZUG,Zug,Europe,EU,Switzerland,CH,,false,"Telezug AG",47.1685,8.5035,false,"Telezug AG",true,Zug,success,Europe/Zurich,6300,1721647077,1721756662.0562,80,http,http://82.136.72.102:80,false,117.10286140442,10389,30465,25.429578499045,82.136.72.102
true,1721756661.9172,anonymous,2073.6751933314,1718397713.5688,"AS27026 networkMaryland",NETWORKMARYLAND,Baltimore,"North America",NA,"United States",US,,false,networkMaryland,39.3248,-76.6062,false,"State of Maryland",false,Maryland,success,America/New_York,21218,1721648766,1721756661.9172,80,http,http://167.102.133.106:80,false,3439.4023418427,38428,22398,63.1769309177,167.102.133.106
true,1721756661.6965,elite,9849.3738994002,1720111131.7339,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",ALIBABA-CN-NET,Beijing,Asia,AS,China,CN,,true,"Hangzhou Alibaba Advertising Co., Ltd.",39.9042,116.407,false,"Aliyun Computing Co.",true,Beijing,success,Asia/Shanghai,100000,1721320770,1721756661.6965,80,socks5,socks5://8.148.22.214:80,true,9525.6242752075,800,142460,0.55842524082089,8.148.22.214
true,1721756444.5839,elite,4106.4773968171,1710541373.2142,"AS51095 EdgeUno, Inc.",E1-EMEA,Riyadh,Asia,AS,"Saudi Arabia",SA,,false,"EdgeUno, Inc.",24.6869,46.7224,false,"EdgeUno, Inc",true,"Riyadh Region",success,Asia/Riyadh,09848,1721174618,1721756661.4815,8888,http,http://89.35.237.187:8888,false,3208.7726593018,84822,88403,48.966373214028,89.35.237.187
true,1721756661.2633,elite,6485.7344805179,1710540183.7192,"AS9905 Linknet ASN",LINKNET-ID-AP,Jakarta,Asia,AS,Indonesia,ID,,false,"PT. LINKNET",-6.1775,106.824,false,,true,Jakarta,success,Asia/Jakarta,,1721430995,1721756661.2633,57853,socks4,socks4://139.255.94.123:57853,true,2161.5068912506,6519,114804,5.3732598105883,139.255.94.123
true,1721601839.2953,elite,253.06052499342,1714930848.8022,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,101776,1721648768,1721756661.0241,4444,http,http://84.252.75.136:4444,false,230.9935092926,135075,1556,98.861166206791,84.252.75.136
true,1721756660.8652,elite,4438.9571211066,1715629929.4153,"AS44477 STARK INDUSTRIES SOLUTIONS LTD",STARK-INDUSTRIES,"Los Angeles","North America",NA,"United States",US,,false,"Stark Industries Solutions LTD",33.8697,-118.3693,false,"Stark Industries Solutions LTD",true,California,success,America/Los_Angeles,90278,1721731012,1721756660.8652,80,http,http://85.209.153.174:80,false,7298.8061904907,48335,61242,44.110534144939,85.209.153.174
true,1721756660.7955,transparent,6021.7680731987,1710580120.6117,"AS6400 Compañía Dominicana de Teléfonos S. A.","Compania Dominicana de Telefonos S. A.","Santo Domingo","North America",NA,"Dominican Republic",DO,,false,"Compañía Dominicana de Teléfonos S. A",18.4615,-69.8965,false,AERODOM,false,Nacional,success,America/Santo_Domingo,10202,1721468105,1721756660.7955,8080,http,http://148.101.179.182:8080,false,611.38248443604,11768,161128,6.8064038497131,148.101.179.182
true,1721756254.4377,anonymous,3476.6459104853,1710545626.0016,"AS8560 IONOS SE",IONOS-AS,Gloucester,Europe,EU,"United Kingdom",GB,"The Docks",true,"IONOS SE",51.8613,-2.25056,false,"Fasthosts Internet Limited",true,England,success,Europe/London,"GL1 2EX",1721601944,1721756660.6655,80,http,http://77.68.100.177:80,false,85.150003433228,26843,107234,20.020585186124,77.68.100.177
true,1721756660.4009,transparent,4250.8002122243,1721746343.5677,"AS141145 PT Giga Digital Nusantara",GIGANET-AS-ID,Welahan,Asia,AS,Indonesia,ID,,false,"PT Giga Digital Nusantara",-6.8,110.717,false,Giganet,false,"Central Java",success,Asia/Jakarta,,1721747239,1721756660.4009,8080,http,http://103.159.194.121:8080,false,3507.9979896545,36,169,17.560975609756,103.159.194.121
true,1721756660.3426,elite,3487.9332156394,1710587304.9175,"AS51167 Contabo GmbH",CONTABO,Munich,Europe,EU,Germany,DE,,true,"Contabo GmbH",48.1077,11.6091,false,"Contabo GmbH",true,Bavaria,success,Europe/Berlin,81549,1721644277,1721756660.3426,21972,http,http://79.143.177.29:21972,false,757.58242607117,8026,182544,4.211575798919,79.143.177.29
true,1721756660.3024,anonymous,7118.0494868237,1721742065.1242,"AS58485 WIFIAN ID",WIFIAN-AS-ID,Bekasi,Asia,AS,Indonesia,ID,,false,"PT wifian Solution",-6.2352,106.9922,true,,false,"West Java",success,Asia/Jakarta,,1721746981,1721756660.3024,7777,http,http://103.247.22.151:7777,false,2746.7911243439,23,199,10.36036036036,103.247.22.151
true,1721756660.0408,transparent,3981.1197606467,1719108919.3523,"AS2514 NTT PC Communications, Inc.",INFOSPHERE,Higashifunabashi,Asia,AS,Japan,JP,,false,"NTT PC Communications, Inc.",35.7074,139.9955,false,"NTTPC Communications, Inc",true,Chiba,success,Asia/Tokyo,273-0001,1721648895,1721756660.0408,3128,http,http://161.34.40.117:3128,false,1756.4857006073,9425,35426,21.014024213507,161.34.40.117
true,1721756113.715,elite,283.31436990841,1719920279.6715,"AS16276 OVH SAS",OVH,Gravelines,Europe,EU,France,FR,,true,"OVH SAS",50.9871,2.12554,false,OVH,true,Hauts-de-France,success,Europe/Paris,59820,1721734748,1721756659.9369,3128,http,http://5.196.65.71:3128,false,71.898937225342,32094,8376,79.303187546331,5.196.65.71
true,1721756659.8818,elite,6543.2664810249,1710701933.8187,"AS17538 PT. Circlecom Nusantara Indonesia",CIRCLECOM-AS-ID-AP,Jakarta,Asia,AS,Indonesia,ID,,false,Circlecom,-6.2114,106.8446,false,,false,Jakarta,success,Asia/Jakarta,,1721154674,1721756659.8818,55443,http,http://202.165.47.90:55443,false,3151.6644954681,14408,173340,7.6741163687496,202.165.47.90
true,1721756322.2866,elite,4421.6978433036,1715631115.6077,"AS44477 STARK INDUSTRIES SOLUTIONS LTD",STARK-INDUSTRIES,"Los Angeles","North America",NA,"United States",US,,false,"Stark Industries Solutions LTD",33.8697,-118.3693,false,"Stark Industries Solutions LTD",true,California,success,America/Los_Angeles,90278,1721731243,1721756659.5559,4444,http,http://85.209.153.175:4444,false,7183.9768886566,49212,60434,44.882622257082,85.209.153.175
true,1721756659.3785,elite,5561.9084146834,1721728610.4858,"AS142286 LUOGELANG (FRANCE) LIMITED",HKIDC-AS-AP,Johannesburg,Africa,AF,"South Africa",ZA,,false,"Shenzhen Jizhan Technology Co Ltd",-26.2309,28.0583,false,"Shenzhen Jizhan Technology Co., Ltd.",false,Gauteng,success,Africa/Johannesburg,2001,1721731596,1721756659.3785,7001,http,http://156.250.116.247:7001,false,2025.6786346436,97,466,17.229129662522,156.250.116.247
true,1721756659.3654,anonymous,3542.3170736124,1716599317.2656,"AS4230 CLARO S.A.","CLARO S.A.","Rio de Janeiro","South America",SA,Brazil,BR,,false,"Claro S.A",-22.9068,-43.1729,false,"EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES SA-EMBRATEL",false,"Rio de Janeiro",success,America/Sao_Paulo,20000-000,1721329488,1721756659.3654,8888,http,http://200.174.198.86:8888,false,775.93517303467,45133,47977,48.472774138116,200.174.198.86
true,1721756659.2555,elite,4903.7262447796,1718888325.7049,"AS63835 CT-HuNan-Changsha-IDC",CT-HuNan-Changsha-IDC,Shangli,Asia,AS,China,CN,"Liuyang Shi",false,"No.293, Wanbao Avenue",27.9729,113.723,false,"Chinanet HN",false,Jiangxi,success,Asia/Shanghai,,1721650428,1721756659.2555,30000,http,http://218.76.247.34:30000,false,1232.2714328766,15313,34344,30.837545562559,218.76.247.34
true,1721756610.7054,elite,3208.6877170313,1721581725.8565,"AS47583 Hostinger International Limited",AS-HOSTINGER,Vilnius,Europe,EU,Lithuania,LT,,true,"Hostinger International Limited",54.6912,25.2816,false,Hostinger,false,Vilnius,success,Europe/Vilnius,02017,1721581744,1721756659.2489,80,http,http://89.116.23.45:80,false,162.92405128479,1024,2672,27.705627705628,89.116.23.45
true,1721755700.7579,elite,3459.7936908071,1710633947.4062,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Nanjing,Asia,AS,China,CN,,false,Chinanet,32.0607,118.763,false,,false,Jiangsu,success,Asia/Shanghai,210000,1721174631,1721756658.9823,1080,http,http://221.231.13.198:1080,false,816.05172157288,70731,111267,38.863613885867,221.231.13.198
